text ,bullying,,,,
'وصمت الاحمق نعمه'!!,0,,,,
"- اللهم بردًا وسلامًا على أهل غزة ، اللهم اربط على قلوبهم وَآمن روعاتهم ، اللهم الطف بهم وَخفف عنهم ، وإرحم موتاهم .

- اللهم انصر أخواننا في فلسطين ، وَأكتب لهم نصرًا يارب العالمين",0,,,,
"                                                                                                                                                                اللهم إني استودعتُك فلسطين وأهلَها، كبارَها وصغارَها، رجالَها ونساءَها، شبابَها وبناتِها، أرضَها وسماءَها، فاحفظها يا ربنا من كل سوء .. اللهم انصر المسلمين في فلسطين وثبت اقدامهم يارب ، حفظ الله المرابطين المجاهدين و ثبتهم الله و أيدهم بنصره يارب العالمين #فلسطين",0,,,,
                 حل و  حل  ة         ,0,,,,
     وأخيراً اشتمعو الحبايب تفضل,0,,,,
    هههههههه لازم نعملها بس نجتمع وهدا الناصح ن الآخر فهمتو عليه كيف بدنا نقلده ههههههههه. اسمع,0,,,,
   بدها ال ٤٠ وفرقتو ولعند لله,0,,,,
"   بس بصراحة عنا أحلى ، اللي عندهن متل مراسم الدفن عند الاوروبية",1,,,,
   وفي هاي مسطرة,0,,,,
"  
ابو خالد وعيون شباب فوك فوك",1,,,,
  الحيوانات ما بتحب تتعامل معاك,1,,,,
  بدكم شي انا رايحة انتحر ,1,,,,
  تلوث سمعي بحد ذاتو ههههه هههههه,1,,,,
  ذكركن بشي ! ,0,,,,
  شوفي بضحك من كل قلبي,0,,,,
"  طمني عنك منشان الله منشان الله طمني ،عنك  تعااااااا شوف غماني",0,,,,
  كل ماحضرتلو شي بتذكرك,0,,,,
  لقااء العظماء,0,,,,
  ليك لوين وصل شره,1,,,,
  ليكي تتزكري فلانه الله يرحم ايامها متلهن تعمل,0,,,,
  ماحدا يضل بالساحه فضولنا الساحه,0,,,,
  ماحسنت مااعملك تاغ,0,,,,
  ماعاد تعرف أضبها لحبيبة قلبك,1,,,,
  مطرب عرسك جاهز علي تقلقش ههههههههههه,0,,,,
  هاي بكرا في عرسك,0,,,,
" 
ركزي ع 
النسوان للي عسطح الله يسعدهن.",0,,,,
 ابوجود كيوان مولعا مع ابو احمد ولعت,0,,,,
 اتعتقد ان اصدقاءك يحبونك حقا؟ هاهاها انهم يستهزئون بك فقط ,1,,,,
 اتعتقد ان هناك اي شخص يحتاج الى وجودك؟ لا احد! ,1,,,,
 اتعتقد ان هناك من سيتقبلك؟ لا احد! ,1,,,,
 اتعتقد ان هناك من يحتاجك؟ ,1,,,,
 اتعتقد حقا ان هناك من سيتحمل وجودك؟ لا احد! ,1,,,,
 اتعتقد حقا ان هناك من يستمتع بوجودك؟ لا احد! ,1,,,,
 احب ان اضحك على اخطائك الغبية ,1,,,,
 احسنلك تبتعد وتخلي الناس تعيش بسلام ,1,,,,
 احلى اغاني هم اغانيكي,0,,,,
 احيانا تحسين انك متخصصة في اشعال النقاشات السلبية ,1,,,,
" اذا بتبيني اشوفك، احسن لك ما تتكلمي معايا ",1,,,,
" اذا ما بتعرفي تحترمي حالك، لا تتعبينا ",1,,,,
 استغفر الله,0,,,,
 اعوذ بالله من الشيطان الرجيم,0,,,,
 اكيد ما في احد بيحب يكون حولك في المجموعات ,1,,,,
 اكيد مارح يهمك لانك لوطي,1,,,,
 الاشياء البسيطة تبدو معقدة في عقلك السلبي ,1,,,,
" الاشياء البسيطة ما انت مش عارف تتعلمها، ليش ما تستغل فرص النمو الشخصي؟ ",1,,,,
" الاطفال يمكنهم تطوير تفاعلات ايجابية، استفيد من خبرتهم؟ !!",1,,,,
 الامور السهلة تتعقد في عقلك السلبي ,1,,,,
 البيض الفاسد يتلم علي بعضه,1,,,,
 التشاؤم اللي فيكِ يعكس بظلاله على كل اللي حولك ,1,,,,
" التشاؤم يصبح موسمك الدائم، و بدون مبرر ",1,,,,
 التفكير السلبي اللي فيكي بيعكس انطباعات سيئة ,1,,,,
" التنمر اللفظي اللي بتمارسينه، ما بيسمح لحدا يرتاح حولك ",1,,,,
 الحياة كما تراها تظهر كمتاهة بلا نهاية ,1,,,,
 السلبية اللي فيكِ تمحو كل لحظة ايجابية ,1,,,,
 السلبية اللي فيكي بتاثر على الكل حولك ,1,,,,
" السلبية في حديثك تعكس على الجميع، حتى لو لم تكني تقصدين ",1,,,,
 السلبية في حديثك تنعكس كظلال داكنة ,1,,,,
 اللحظات الجيدة تتلاشى عندما تكونين في الصورة ,1,,,,
 الله ياخذكم انت واشكالك امين,1,,,,
 الله ياخذكم ونخلص والله ما مصدقة انو في هيك  ناس يارب سترك,1,,,,
" الله يخليكي لحالك، ما بدنا نشوف وجهك ",1,,,,
 اللي بيشوفك بيتحول الى يوم سيء فجاة ,1,,,,
 اللي بيفهمك بيتحمل مرارة الحديث معك ,1,,,,
 اللي ما عنده شغلة يمشي يلعب بعيد عنا ,1,,,,
